seed = 6950, n = 10, kappa = 6.95e+02, iterations = 1040, message = success
seed = 6950, n = 10, kappa = 1.00e+03, iterations = 524, message = success
seed = 2434, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 2434, n = 10, kappa = 1.44e+00, iterations = 7, message = success
seed = 2434, n = 10, kappa = 2.07e+00, iterations = 7, message = success
seed = 2434, n = 10, kappa = 2.98e+00, iterations = 8, message = success
seed = 2434, n = 10, kappa = 4.28e+00, iterations = 11, message = success
seed = 2434, n = 10, kappa = 6.16e+00, iterations = 15, message = success
seed = 2434, n = 10, kappa = 8.86e+00, iterations = 22, message = success
seed = 2434, n = 10, kappa = 1.27e+01, iterations = 31, message = success
seed = 2434, n = 10, kappa = 1.83e+01, iterations = 12, message = success
seed = 2434, n = 10, kappa = 2.64e+01, iterations = 50, message = success
seed = 2434, n = 10, kappa = 3.79e+01, iterations = 70, message = success
seed = 2434, n = 10, kappa = 5.46e+01, iterations = 115, message = success
seed = 2434, n = 10, kappa = 7.85e+01, iterations = 99, message = success
seed = 2434, n = 10, kappa = 1.13e+02, iterations = 163, message = success
seed = 2434, n = 10, kappa = 1.62e+02, iterations = 18, message = success
seed = 2434, n = 10, kappa = 2.34e+02, iterations = 192, message = success
seed = 2434, n = 10, kappa = 3.36e+02, iterations = 367, message = success
seed = 2434, n = 10, kappa = 4.83e+02, iterations = 862, message = success
seed = 2434, n = 10, kappa = 6.95e+02, iterations = 989, message = success
seed = 2434, n = 10, kappa = 1.00e+03, iterations = 2161, message = success
seed = 5312, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 5312, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 5312, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 5312, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 5312, n = 10, kappa = 4.28e+00, iterations = 9, message = success
seed = 5312, n = 10, kappa = 6.16e+00, iterations = 13, message = success
seed = 5312, n = 10, kappa = 8.86e+00, iterations = 18, message = success
seed = 5312, n = 10, kappa = 1.27e+01, iterations = 25, message = success
seed = 5312, n = 10, kappa = 1.83e+01, iterations = 36, message = success
seed = 5312, n = 10, kappa = 2.64e+01, iterations = 51, message = success
seed = 5312, n = 10, kappa = 3.79e+01, iterations = 73, message = success
seed = 5312, n = 10, kappa = 5.46e+01, iterations = 56, message = success
seed = 5312, n = 10, kappa = 7.85e+01, iterations = 64, message = success
seed = 5312, n = 10, kappa = 1.13e+02, iterations = 186, message = success
seed = 5312, n = 10, kappa = 1.62e+02, iterations = 149, message = success
seed = 5312, n = 10, kappa = 2.34e+02, iterations = 382, message = success
seed = 5312, n = 10, kappa = 3.36e+02, iterations = 261, message = success
seed = 5312, n = 10, kappa = 4.83e+02, iterations = 515, message = success
seed = 5312, n = 10, kappa = 6.95e+02, iterations = 767, message = success
seed = 5312, n = 10, kappa = 1.00e+03, iterations = 1316, message = success
seed = 5052, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 5052, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 5052, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 5052, n = 10, kappa = 2.98e+00, iterations = 5, message = success
seed = 5052, n = 10, kappa = 4.28e+00, iterations = 11, message = success
seed = 5052, n = 10, kappa = 6.16e+00, iterations = 14, message = success
seed = 5052, n = 10, kappa = 8.86e+00, iterations = 23, message = success
seed = 5052, n = 10, kappa = 1.27e+01, iterations = 30, message = success
seed = 5052, n = 10, kappa = 1.83e+01, iterations = 42, message = success
seed = 5052, n = 10, kappa = 2.64e+01, iterations = 61, message = success
seed = 5052, n = 10, kappa = 3.79e+01, iterations = 52, message = success
seed = 5052, n = 10, kappa = 5.46e+01, iterations = 112, message = success
seed = 5052, n = 10, kappa = 7.85e+01, iterations = 97, message = success
seed = 5052, n = 10, kappa = 1.13e+02, iterations = 29, message = success
seed = 5052, n = 10, kappa = 1.62e+02, iterations = 145, message = success
seed = 5052, n = 10, kappa = 2.34e+02, iterations = 427, message = success
seed = 5052, n = 10, kappa = 3.36e+02, iterations = 489, message = success
seed = 5052, n = 10, kappa = 4.83e+02, iterations = 1163, message = success
seed = 5052, n = 10, kappa = 6.95e+02, iterations = 980, message = success
seed = 5052, n = 10, kappa = 1.00e+03, iterations = 1300, message = success
seed = 6421, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 6421, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 6421, n = 10, kappa = 2.07e+00, iterations = 5, message = success
seed = 6421, n = 10, kappa = 2.98e+00, iterations = 8, message = success
seed = 6421, n = 10, kappa = 4.28e+00, iterations = 9, message = success
seed = 6421, n = 10, kappa = 6.16e+00, iterations = 14, message = success
seed = 6421, n = 10, kappa = 8.86e+00, iterations = 19, message = success
seed = 6421, n = 10, kappa = 1.27e+01, iterations = 28, message = success
seed = 6421, n = 10, kappa = 1.83e+01, iterations = 30, message = success
seed = 6421, n = 10, kappa = 2.64e+01, iterations = 47, message = success
seed = 6421, n = 10, kappa = 3.79e+01, iterations = 46, message = success
seed = 6421, n = 10, kappa = 5.46e+01, iterations = 75, message = success
seed = 6421, n = 10, kappa = 7.85e+01, iterations = 63, message = success
seed = 6421, n = 10, kappa = 1.13e+02, iterations = 150, message = success
seed = 6421, n = 10, kappa = 1.62e+02, iterations = 145, message = success
seed = 6421, n = 10, kappa = 2.34e+02, iterations = 400, message = success
seed = 6421, n = 10, kappa = 3.36e+02, iterations = 375, message = success
seed = 6421, n = 10, kappa = 4.83e+02, iterations = 1005, message = success
seed = 6421, n = 10, kappa = 6.95e+02, iterations = 715, message = success
seed = 6421, n = 10, kappa = 1.00e+03, iterations = 1358, message = success
seed = 1185, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 1185, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 1185, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 1185, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 1185, n = 10, kappa = 4.28e+00, iterations = 8, message = success
seed = 1185, n = 10, kappa = 6.16e+00, iterations = 10, message = success
seed = 1185, n = 10, kappa = 8.86e+00, iterations = 20, message = success
seed = 1185, n = 10, kappa = 1.27e+01, iterations = 25, message = success
seed = 1185, n = 10, kappa = 1.83e+01, iterations = 34, message = success
seed = 1185, n = 10, kappa = 2.64e+01, iterations = 28, message = success
seed = 1185, n = 10, kappa = 3.79e+01, iterations = 40, message = success
seed = 1185, n = 10, kappa = 5.46e+01, iterations = 80, message = success
seed = 1185, n = 10, kappa = 7.85e+01, iterations = 143, message = success
seed = 1185, n = 10, kappa = 1.13e+02, iterations = 117, message = success
seed = 1185, n = 10, kappa = 1.62e+02, iterations = 196, message = success
seed = 1185, n = 10, kappa = 2.34e+02, iterations = 335, message = success
seed = 1185, n = 10, kappa = 3.36e+02, iterations = 232, message = success
seed = 1185, n = 10, kappa = 4.83e+02, iterations = 802, message = success
seed = 1185, n = 10, kappa = 6.95e+02, iterations = 540, message = success
seed = 1185, n = 10, kappa = 1.00e+03, iterations = 1745, message = success
seed = 4556, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 4556, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 4556, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 4556, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 4556, n = 10, kappa = 4.28e+00, iterations = 12, message = success
seed = 4556, n = 10, kappa = 6.16e+00, iterations = 17, message = success
seed = 4556, n = 10, kappa = 8.86e+00, iterations = 25, message = success
seed = 4556, n = 10, kappa = 1.27e+01, iterations = 34, message = success
seed = 4556, n = 10, kappa = 1.83e+01, iterations = 51, message = success
seed = 4556, n = 10, kappa = 2.64e+01, iterations = 37, message = success
seed = 4556, n = 10, kappa = 3.79e+01, iterations = 70, message = success
seed = 4556, n = 10, kappa = 5.46e+01, iterations = 131, message = success
seed = 4556, n = 10, kappa = 7.85e+01, iterations = 78, message = success
seed = 4556, n = 10, kappa = 1.13e+02, iterations = 265, message = success
seed = 4556, n = 10, kappa = 1.62e+02, iterations = 265, message = success
seed = 4556, n = 10, kappa = 2.34e+02, iterations = 200, message = success
seed = 4556, n = 10, kappa = 3.36e+02, iterations = 438, message = success
seed = 4556, n = 10, kappa = 4.83e+02, iterations = 1015, message = success
seed = 4556, n = 10, kappa = 6.95e+02, iterations = 1028, message = success
seed = 4556, n = 10, kappa = 1.00e+03, iterations = 2440, message = success
seed = 3386, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 3386, n = 10, kappa = 1.44e+00, iterations = 5, message = success
seed = 3386, n = 10, kappa = 2.07e+00, iterations = 10, message = success
seed = 3386, n = 10, kappa = 2.98e+00, iterations = 7, message = success
seed = 3386, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 3386, n = 10, kappa = 6.16e+00, iterations = 14, message = success
seed = 3386, n = 10, kappa = 8.86e+00, iterations = 19, message = success
seed = 3386, n = 10, kappa = 1.27e+01, iterations = 25, message = success
seed = 3386, n = 10, kappa = 1.83e+01, iterations = 43, message = success
seed = 3386, n = 10, kappa = 2.64e+01, iterations = 51, message = success
seed = 3386, n = 10, kappa = 3.79e+01, iterations = 83, message = success
seed = 3386, n = 10, kappa = 5.46e+01, iterations = 117, message = success
seed = 3386, n = 10, kappa = 7.85e+01, iterations = 164, message = success
seed = 3386, n = 10, kappa = 1.13e+02, iterations = 99, message = success
seed = 3386, n = 10, kappa = 1.62e+02, iterations = 158, message = success
seed = 3386, n = 10, kappa = 2.34e+02, iterations = 313, message = success
seed = 3386, n = 10, kappa = 3.36e+02, iterations = 370, message = success
seed = 3386, n = 10, kappa = 4.83e+02, iterations = 781, message = success
seed = 3386, n = 10, kappa = 6.95e+02, iterations = 907, message = success
seed = 3386, n = 10, kappa = 1.00e+03, iterations = 1997, message = success
